Species,12S,16S,cytb,CXCR4,H3A,NCX1,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Plectrohyla.pentheter,EF566972,EF566972 ,NA,NA,NA,NA,DQ055798,NA,NA,NA,NA,NA
Plectrohyla.siopela,NA,NA,NA,NA,NA,NA,DQ388715,NA,NA,NA,NA,NA
Plethodon.albagula,NA,NA,DQ994910,NA,NA,NA,NA,DQ995008,NA,NA,NA,NA
Plethodon.amplus,NA,NA,DQ994912,NA,NA,NA,NA,DQ995010,NA,NA,NA,NA
Plethodon.angusticlavius,NA,NA,DQ994913,NA,NA,NA,NA,DQ995011,NA,NA,NA,NA
Plethodon.asupak,NA,NA,AY688300,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodon.aureolus,NA,NA,DQ994915,NA,NA,NA,NA,DQ995012,NA,NA,NA,NA
Plethodon.caddoensis,NA,NA,DQ994918,NA,NA,NA,NA,DQ995013,NA,NA,NA,NA
Plethodon.chattahoochee,NA,NA,DQ994920,NA,NA,NA,NA,DQ995014,NA,NA,NA,NA
Plethodon.cheoah,NA,NA,DQ994921,NA,NA,NA,NA,DQ995015,NA,NA,NA,NA
Plethodon.chlorobryonis,AY032922,EF107183,DQ994924,EF107470,NA,EF107246,NA,DQ995016,NA,NA,EF107404,NA
Plethodon.cinereus,NA,EF107166,DQ994927,EF107452,NA,EF107226,FJ951365,DQ995021,NA,NA,EF107360,NA
Plethodon.cylindraceus,NA,NA,DQ994929,NA,NA,NA,NA,DQ995022,NA,NA,NA,NA
Plethodon.dorsalis,NA,NA,DQ994930,NA,NA,NA,NA,DQ995023,NA,NA,NA,NA
Plethodon.dunni,DQ283262,DQ283262 ,AY183763,NA,DQ284285,NA,NA,NA,DQ283930,NA,NA,NA
Plethodon.electromorphus,NA,NA,DQ994932,NA,NA,NA,NA,DQ995025,NA,NA,NA,NA
Plethodon.elongatus,NA,NA,AY688298,NA,NA,NA,EU275836,AY650120,NA,NA,NA,NA
Plethodon.fourchensis,NA,NA,FJ611436,NA,NA,NA,EU275838,DQ995026,NA,NA,NA,NA
Plethodon.glutinosus,NA,NA,DQ994939,NA,NA,NA,NA,DQ995027,NA,NA,NA,NA
Plethodon.grobmani,NA,NA,DQ994941,NA,NA,NA,NA,DQ995028,NA,NA,NA,NA
Plethodon.hoffmani,NA,NA,DQ994942,NA,NA,NA,EU275837,DQ995029,NA,NA,NA,NA
Plethodon.hubrichti,NA,NA,AF302873,NA,NA,NA,NA,DQ995030,NA,NA,NA,NA
Plethodon.idahoensis,NA,NA,AY572106,NA,NA,NA,NA,GQ247811,NA,NA,NA,NA
Plethodon.jordani,NA,NA,DQ994947,NA,DQ284169,NA,EU275835,DQ995032,NA,NA,NA,NA
Plethodon.kentucki,NA,NA,DQ994948,NA,NA,NA,NA,DQ995033,NA,NA,NA,NA
Plethodon.kiamichi,NA,NA,DQ994950,NA,NA,NA,NA,DQ995034,NA,NA,NA,NA
Plethodon.kisatchie,NA,NA,DQ994951,NA,NA,NA,NA,DQ995035,NA,NA,NA,NA
Plethodon.larselli,NA,NA,NA,NA,NA,NA,EU275839,DQ995036,NA,NA,NA,NA
Plethodon.meridianus,NA,NA,DQ994955,NA,NA,NA,NA,DQ995038,NA,NA,NA,NA
Plethodon.metcalfi,NA,NA,DQ994957,NA,NA,NA,NA,DQ995040,NA,NA,NA,NA
Plethodon.mississippi,EU427887,NA,DQ994959,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodon.montanus,NA,NA,DQ994961,NA,NA,NA,NA,DQ995043,NA,NA,NA,NA
Plethodon.neomexicanus,NA,NA,NA,NA,NA,NA,NA,DQ995044,NA,NA,NA,NA
Plethodon.nettingi,NA,NA,DQ994964,NA,NA,NA,NA,DQ995045,NA,NA,NA,NA
Plethodon.ocmulgee,NA,NA,DQ994968,NA,NA,NA,NA,DQ995048,NA,NA,NA,NA
Plethodon.ouachitae,NA,NA,FJ611362,NA,NA,NA,EU275831,EU275796,NA,NA,NA,NA
Plethodon.petraeus,NA,NA,DQ994973,NA,NA,NA,NA,DQ995049,NA,NA,NA,NA
Plethodon.punctatus,NA,NA,DQ994974,NA,NA,NA,NA,DQ995050,NA,NA,NA,NA
Plethodon.richmondi,NA,NA,DQ994977,NA,NA,NA,NA,DQ995054,NA,NA,NA,NA
Plethodon.savannah,NA,NA,DQ994978,NA,NA,NA,NA,DQ995055,NA,NA,NA,NA
Plethodon.sequoyah,NA,NA,DQ994979,NA,NA,NA,NA,DQ995056,NA,NA,NA,NA
Plethodon.serratus,NA,NA,DQ994981,NA,NA,NA,EU275830,EU275795,NA,NA,NA,NA
Plethodon.shenandoah,NA,NA,DQ994984,NA,NA,NA,NA,DQ995062,NA,NA,NA,NA
Plethodon.shermani,NA,NA,DQ994987,NA,NA,NA,NA,DQ995067,NA,NA,NA,NA
Plethodon.stormi,NA,NA,AY688301,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodon.teyahalee,NA,NA,DQ994990,NA,NA,NA,EU275834,DQ995068,NA,NA,NA,NA
Plethodon.vandykei,NA,NA,AY962290,NA,NA,NA,EU275833,AY691715,NA,NA,NA,NA
Plethodon.variolatus,NA,NA,DQ994992,NA,NA,NA,NA,DQ995070,NA,NA,NA,NA
Plethodon.vehiculum,NA,NA,AY691760,NA,NA,NA,NA,AY691716,NA,NA,NA,NA
Plethodon.ventralis,NA,NA,DQ994994,NA,NA,NA,NA,DQ995071,NA,NA,NA,NA
Plethodon.virginia,NA,NA,DQ994995,NA,NA,NA,NA,DQ995072,NA,NA,NA,NA
Plethodon.websteri,NA,NA,DQ994904,NA,NA,NA,NA,DQ995073,NA,NA,NA,NA
Plethodon.wehrlei,NA,NA,DQ994998,NA,NA,NA,NA,DQ995075,NA,NA,NA,NA
Plethodon.welleri,NA,NA,AY691761,NA,NA,NA,NA,AY691717,NA,NA,NA,NA
Plethodon.yonahlossee,Y10948,Y10948,AY691762,NA,NA,NA,EU275832,DQ995078,NA,NA,NA,NA
Plethodontohyla.bipunctata,EU341068,EU341068 ,EU341002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodontohyla.brevipes,EU341063,EU341063 ,EU340997,NA,NA,NA,NA,EF396103,NA,NA,NA,EF395987
Plethodontohyla.fonetana,EU341058,EU341058 ,EU340993,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodontohyla.guentheri,EU341059,EU341059 ,EU340994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodontohyla.inguinalis,EU341057,EU341057 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodontohyla.mihanika,EU341056,EU341056 ,EU340992,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodontohyla.notosticta,EU341061,EU341061 ,EU340996,NA,NA,NA,NA,EU341128,NA,NA,NA,NA
Plethodontohyla.ocellata,EU341062,EU341062 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodontohyla.tuberata,EU341064,EU341064 ,EU340998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleurodeles.nebulosus,NA,DQ092266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleurodeles.poireti,AY222467,DQ092263,AY222519,NA,NA,NA,EU275820,EU275787,NA,NA,NA,NA
Pleurodeles.waltl,AY522564,DQ283445 ,AY222514,NA,DQ284420,NA,NA,AY523736,NA,NA,AY948856,NA
Pleurodema.bibroni,FJ882760,FJ882761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleurodema.brachyops,AY843733,AY843733,AY843979,NA,DQ284111,NA,NA,AY844503,NA,AY844926,NA,NA
Pleurodema.bufoninum,NA,EU445700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pleurodema.marmoratum,AM039729,AM039661,NA,NA,NA,NA,GQ345273,NA,NA,NA,NA,NA
Pleurodema.thaul,DQ864536,EU445712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypedates.colletti,NA,EF624065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypedates.cruciger,AF249028,AF249045,AF249089,NA,NA,NA,NA,DQ347212,AF249124,NA,NA,NA
Polypedates.eques,AY880489,AY141847,NA,NA,NA,NA,NA,NA,AY880647,NA,NA,NA
Polypedates.fastigo,AY880562,AY880518,NA,NA,NA,NA,NA,NA,AY880648,NA,NA,NA
Polypedates.leucomystax,AY880563,AF215343,AB451718,NA,DQ284079,NA,NA,NA,AY880649,NA,NA,NA
Polypedates.maculatus,AY880607,AY880520,NA,NA,NA,NA,NA,AY323777,NA,NA,NA,NA
Polypedates.megacephalus,AY880564,AY880519,AB451722,NA,NA,NA,GQ285739,EU924517,EU924545,NA,NA,NA
Polypedates.mutus,AY880565,AY880521,NA,NA,NA,NA,GQ285738,GQ285770,EU215581,NA,NA,NA
Poyntonia.paludicola,DQ347058,DQ347341,NA,NA,NA,NA,NA,DQ347283,DQ347402,NA,NA,DQ347191
Praslinia.cooperi,GQ244475,EF219348,GQ244475,EF107489,NA,EF107269,NA,EF107328,NA,NA,EF107431,NA
Pristimantis.acerus,EF493678,EF493678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.achatinus,EF493827,EF493660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.actites,EF493696,EF493696,NA,NA,NA,NA,NA,EF493432,NA,NA,NA,EF493494
Pristimantis.acuminatus,NA,EU130579,EU130577,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.altamazonicus,EF493670,EF493670,NA,NA,NA,NA,NA,EF493441,NA,NA,NA,EU186778
Pristimantis.aniptopalmatus,EF493390,EF493390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.appendiculatus,EF493524,EF493524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.ardalonychus,EU186664,EU186664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.ashkapara,FJ438807,FJ438796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.bipunctatus,EF493702,EF493702,NA,NA,NA,NA,NA,EF493430,NA,NA,NA,EF493492
Pristimantis.bisignatus,FJ438808,EU192235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.bromeliaceus,EF493351,EF493351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.buccinator,NA,EU712631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.buckleyi,EF493350,EF493350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.cajamarcensis,EF493823,EF493663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.calcarulatus,EF493523,EF493523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.caprifer,EF493391,EF493391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.caryophyllaceus,EU186686,EU186686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.celator,EF493685,EF493685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.ceuthospilus,EF493520,EF493520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.chalceus,EF493675,EF493675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.chiastonotus,NA,EU201061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.chloronotus,AY326007,AY326007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.citriogaster,EF493700,EF493700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.colomai,EF493354,EF493354,NA,NA,NA,NA,NA,EF493440,NA,NA,NA,EF493502
Pristimantis.condor,EF493701,EF493701,NA,NA,NA,NA,NA,EF493443,NA,NA,NA,EF493504
Pristimantis.conspicillatus,EF493529,EF493529,NA,NA,NA,NA,NA,EF493437,NA,NA,NA,EF493499
Pristimantis.cremnobates,EF493528,EF493528,NA,NA,NA,NA,NA,EF493424,NA,NA,NA,EF493486
Pristimantis.crenunguis,EF493693,EF493693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.croceoinguinis,EF493669,EF493665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.crucifer,EU186736,EU186718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.cruentus,FJ882746,EF493697,NA,NA,NA,AY948836,NA,AY948935,NA,GQ345313,AY948898,NA
Pristimantis.cryophilius,EF493672,EF493672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.curtipes,EF493513,EF493513,NA,NA,NA,NA,AY819092,DQ679272,NA,NA,NA,EF493497
Pristimantis.danae,NA,EU192272,EU368882,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.devillei,EF493688,EF493688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.diadematus,EU186668,EU186668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.dissimulatus,EF493522,EF493522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.duellmani,AY326003,AY326003,NA,NA,NA,NA,NA,EF493438,NA,NA,NA,EF493500
Pristimantis.eriphus,EU186671,EU186671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.euphronides,EF493527,EF493527,NA,NA,NA,NA,NA,EF493427,NA,NA,NA,EF493489
Pristimantis.fenestratus,FJ438809,EF493703,EU368884,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.fraudator,NA,FJ539065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.galdi,EU186670,EU186670,NA,NA,NA,NA,NA,EU186746,NA,NA,NA,EU186767
Pristimantis.gentryi,EF493511,EF493511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.glandulosus,EF493676,EF493676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.imitatrix,EF493824,EF493667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.inguinalis,EU186676,EU186676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.inusitatus,EF493677,EF493677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.koehleri,FJ438810,FJ438799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.labiosus,EF493694,EF493694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.lanthanites,EF493695,EF493695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.latidiscus,EF493698,EF493698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.leoni,EF493684,EF493684,NA,NA,NA,NA,NA,EF493433,NA,NA,NA,EF493495
Pristimantis.lirellus,EF493521,EF493521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.llojsintuta,NA,EU712642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.luteolateralis,EF493517,EF493517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.lymani,EF493392,EF493392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.malkini,EU186663,EU186663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.marmoratus,EU186692,EU201063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.melanogaster,EF493826,EF493664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.mercedesae,FJ539071,FJ539066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.nyctophylax,EF493526,EF493526,NA,NA,NA,NA,NA,EF493425,NA,NA,NA,EF493487
Pristimantis.ockendeni,EF493519,EF493519,EU130680,NA,NA,NA,NA,EF493434,NA,NA,NA,EF493496
Pristimantis.ocreatus,EF493682,EF493682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.orcesi,EF493679,EF493679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.orestes,EF493388,EF493388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.parvillus,EF493352,EF493352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.peruvianus,EF493707,EF493707,NA,NA,NA,NA,NA,EF493436,NA,NA,NA,EF493498
Pristimantis.petrobardus,EF493825,EF493367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.phoxocephalus,EF493349,EF493349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.platydactylus,FJ438811,EU192255,EU368888,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.pluvicanorus,AY843586,AY843586,NA,NA,DQ284372,NA,NA,NA,NA,AY844785,NA,AY844035
Pristimantis.prolatus,EU186701,EU186701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.pulvinatus,EU186741,EU186723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.pycnodermis,EF493680,EF493680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.pyrrhomerus,EF493683,EF493683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.quaquaversus,NA,EU130580,EU130578,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.quinquagesimus,EF493690,EF493690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.reichlei,NA,EU712720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.rhabdocnemus,EU186724,EU186706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.rhabdolaemus,EF493706,EF493706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.rhodoplichus,EF493674,EF493674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.ridens,EF493355,EF493355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.riveti,EF493348,EF493348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.rozei,EF493691,EF493691,NA,NA,NA,NA,NA,EF493429,NA,NA,NA,EF493491
Pristimantis.sagittulus,EF493705,EF493705,NA,NA,NA,NA,NA,EF493439,NA,NA,NA,EF493501
Pristimantis.samaipatae,FJ438814,FJ438803,EU368890,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.schultei,EF493681,EF493681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.shrevei,EF493692,EF493692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.simonbolivari,EF493671,EF493671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.simonsii,EU186665,EU186665,NA,NA,NA,NA,AY819155,NA,NA,NA,NA,NA
Pristimantis.skydmainos,EF493393,EF493393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.spinosus,EF493673,EF493673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.stictogaster,EF493704,EF493704,NA,NA,NA,NA,NA,EF493445,NA,NA,NA,EF493506
Pristimantis.subsigillatus,EF493525,EF493525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.supernatis,AY326005,AY326005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.surdus,EF493687,EF493687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.terraebolivaris,EU186650,EU186650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.thymalopsoides,EF493514,EF493514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.thymelensis,AY326009,AY326009,NA,NA,NA,NA,NA,EF493442,NA,NA,NA,EF493503
Pristimantis.toftae,EF493353,EF493353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.truebae,EF493512,EF493512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.unistrigatus,EF493387,EF493387,NA,NA,NA,NA,NA,EF493444,NA,NA,NA,EF493505
Pristimantis.urichi,EF493699,EF493699,NA,NA,NA,NA,NA,EF493426,NA,NA,NA,EF493488
Pristimantis.verecundus,EF493686,EF493686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.versicolor,EF493389,EF493389,NA,NA,NA,NA,NA,EF493431,NA,NA,NA,EF493493
Pristimantis.vertebralis,EF493689,EF493689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.walkeri,EF493518,EF493518,NA,NA,NA,NA,NA,EF493428,NA,NA,NA,EF493490
Pristimantis.wiensi,EF493377,EF493668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pristimantis.w-nigrum,AY326004,AY326004,NA,NA,NA,NA,DQ158260,DQ158344,NA,NA,NA,NA
Pristimantis.zeuctotylus,EU186678,EU186678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Probreviceps.durirostris,DQ438127,DQ438131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Probreviceps.macrodactylus,AY531875,DQ283420,NA,NA,NA,NA,NA,NA,NA,DQ282877,NA,DQ283016
Probreviceps.uluguruensis,AY531869,AY531845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proceratophrys.appendiculata,NA,FJ685690,FJ685670,NA,NA,NA,NA,FJ685710,NA,NA,NA,NA
Proceratophrys.avelinoi,DQ283038,DQ283038 ,FJ685671,NA,DQ284065,NA,NA,FJ685711,DQ283769,NA,NA,DQ282903
Proceratophrys.bigibbosa,NA,FJ685692,FJ685672,NA,NA,NA,NA,FJ685712,NA,NA,NA,NA
Proceratophrys.boiei,AY143350,FJ685693,EU017616,NA,NA,NA,NA,FJ685713,NA,NA,NA,NA
Proceratophrys.concavitympanum,NA,FJ685694,FJ685674,NA,NA,NA,NA,FJ685714,NA,NA,NA,NA
Proceratophrys.cristiceps,NA,FJ685695,FJ685675,NA,NA,NA,NA,FJ685715,NA,NA,NA,NA
Proceratophrys.cururu,NA,FJ685696,FJ685676,NA,NA,NA,NA,FJ685716,NA,NA,NA,NA
Proceratophrys.goyana,NA,FJ685697,FJ685677,NA,NA,NA,NA,FJ685717,NA,NA,NA,NA
Proceratophrys.laticeps,NA,FJ685698,FJ685678,NA,NA,NA,NA,FJ685718,NA,NA,NA,NA
Proceratophrys.melanopogon,NA,FJ685699,FJ685679,NA,NA,NA,GQ345270,FJ685719,NA,NA,NA,NA
Proceratophrys.renalis,NA,FJ685700,FJ685680,NA,NA,NA,NA,FJ685720,NA,NA,NA,NA
Proceratophrys.schirchi,NA,FJ685701,FJ685681,NA,NA,NA,NA,FJ685721,NA,NA,NA,NA
Proteus.anguinus,DQ494769,EF107180,GQ368659,EF107467,NA,EF107243,NA,AY650138,NA,NA,EF107402,NA
Pseudacris.brachyphona,AY326049,AY326049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.brimleyi,EF472036,AY291094 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.cadaverina,AY819365,EF472006,FJ599871,NA,NA,NA,AY819115,NA,NA,NA,NA,AY844162
Pseudacris.clarkii,AY291093,AY291093 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.crucifer,AY819385,AY843735,EF988160,NA,DQ284114,NA,AY819135,NA,NA,AY844927,NA,AY844163
Pseudacris.feriarum,EF472221,EF472212 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.fouquettei,AY291085,AY291085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.illinoensis,EF472010,AY291110 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.kalmi,EF472230,AY291087 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.maculata,EF472135,AY291092 ,EF988161,NA,NA,NA,EF988270,NA,NA,NA,NA,EF988332
Pseudacris.nigrita,EF472231,EF472231 ,AY210862,NA,NA,NA,AY819136,NA,NA,NA,NA,NA
Pseudacris.ocularis,AY291098,AY291098 ,AY843982,NA,NA,NA,DQ055808,NA,NA,NA,NA,AY844164
Pseudacris.ornata,AY291106,AY291106 ,GU985379,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.regilla,AY819376,AY291112 ,EU834883,NA,NA,NA,AY819126,DQ679268,NA,NA,NA,AY844165
Pseudacris.streckeri,EF472009,AY291108 ,AY210861,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris.triseriata,EF472160,EF472160 ,AY843984,NA,NA,NA,NA,NA,NA,AY844928,NA,AY844166
Pseudis.bolbodactyla,EF153007,EF153007 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudis.caraya,EF152999,EF152999 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudis.cardosoi,EF152997,EF152997 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudis.fusca,EF153003,EF153003 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudis.laevis,EF152998,EF152998 ,AY843941,NA,DQ284110,NA,NA,NA,NA,AY844896,NA,AY844133
Pseudis.limellum,EF153002,EF153002 ,AY843942,NA,NA,NA,NA,NA,NA,AY844897,NA,NA
Pseudis.minuta,EF152996,EF152996 ,AY843985,GQ366028,NA,NA,GQ366070,AY844505,NA,AY844929,NA,NA
Pseudis.paradoxa,AY326032,EF153012 ,AY843986,NA,DQ284128,NA,AY819102,AY323773,NA,NA,NA,AY844167
Pseudis.tocantins,EF153004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoamolops.sauteri,DQ359976,DQ289109,NA,NA,DQ284168,NA,NA,NA,DQ283832,NA,NA,NA
Pseudobranchus.axanthus,GQ368660,GQ368660,AY713283,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudobranchus.striatus,DQ283182,DQ283183,AY713225,NA,DQ284217,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.altamontana,NA,AF451245,AF380782,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.anitae,NA,AF451227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.bellii,NA,AF451214,AF451194,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.boneti,NA,AY864714,AY864688,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.brunnata,NA,AF451232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.cephalica,NA,AF451218,AF451199,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.cochranae,NA,AF451222,AF451201,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.conanti,DQ283454,DQ283454 ,NA,NA,DQ284427,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.exspectata,NA,AF451234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.firscheini,NA,DQ642045,DQ642046,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.gadovii,NA,AF451230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.galeanae,NA,AF451220,AF451197,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.gigantea,NA,AY864707,AY864685,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.goebeli,NA,AF451236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea.juarezi,NA,DQ640031,AF380771,NA,NA,NA,NA,NA,NA,NA,NA,NA
